_id,question,answers
868ac0b9,Why had to develop a 4-stroke engine in place of 2-stroke?,"Pollution mostly. two stroke engines burn their fuel very poorly compared to a four stroke. You are burning two stroke oil, you have to put the two stroke oil in with the fuel on a two stroke engine and the result of this is smoke once it has been burnt causes pollution and as has been mentioned their exhaust gases are smelly.
For the same engine capacity you tend to get more power out of a two stroke engine than you do out of a four stroke. For example a 5.7L two stroke V8 would actually be more powerful than a 5.7L four stroke V8.
The thing is the high levels of pollution is why two strokes are not popular. Imagine if everyone drove a two stroke."
2ec04d79,Why don't we have an 8 or a 16 stroke engine? Is there a possibility to have such engines in the near future?,"Each engine stroke performs a certain action. In the case of a 4-stroke engine, that's:
1. intake (pulls in fuel and air)
2. compression (compresses the mixture)
3. power/ignition (explosive expansion of the fuel)
4. exhaust (exhaust gasses expelled
A two-stroke engine combines these steps, something like:
1. intake/compression (first half of the cycle does intake, second half compresses)
2. ignition/exhaust (first half of the cycle does ignition, second half exhaust)
We don't have an 8 stroke engine because there just aren't any more than 4 steps that are necessary to accomplish combustion and release of waste gasses. We also don't WANT to have any more than a 4-stroke engine because it's inefficient - only one of the four strokes of the engine is producing any kinetic energy; even if you could, having any more is either wasteful or just a multiple of an existing two/four stroke engine."
e88bb0f2,How many strokes are there available in an engine?,"There are 2 stroke and 4 stroke engines available today with 4 stroke engines being the most common.
2 stroke engines nowadays are only found in small machinery.
The processes that occur in a 4 stroke engine are sucction, compression, expansion and exhaust. Here power is produced in expansion stroke where the fuel gets ignited.
2 stroke engines have ports instead of valves i.e., exhaust port and transfer port. After the combustion of fuel, the piston moves downwards, opening the exhaust port. Further downward movement of piston, uncovers the transfer port and as a result the air fuel mixture which is fed directly to the crankcase is forced up through the transfer port into the combustion chamber. This fresh incoming charge helps in removing the exhaust in the cylinder.
In this type of engine, there is a tendency for mixing of exhaust with fresh mixture."
67f48f83,Which is the most beautiful cricket stroke?,"These are the best shorts in my POV.
Rahul Dravid Cut shot

A very late cut which makes the bowler think that they got him bowled but at the very last moment he cuts the ball to the boundary. That disappointment in bowler's face is enough to show the brilliance in the technique

Sangakkara Cover drive

There are many best cover drives from many players across the world. But when it comes to Sanga it reaches the peak elegance. One foot on the ground and his right leg pointing exactly on the direction of the shot played and the way he does this so easily makes this the best.
Ponting Pull shot

The term hook shot is used when the shot is played against a ball bouncing at or above chest high to the batsman, the batsman thus ""hooking"" the ball around behind square leg, either along the ground or in the air. He literally rotate in his back foot to complete that shot which makes that a glorious visual even to the opponents

Sachin straight drive

No explanation needed for this shot. God with his perfect weapon.

and some other shots are...

Pietersen reverse sweep


Steve Waugh Slog sweep


Sachin Upper cut

Pietersen switch hit


Dilscoop by Dilshan(formerly Marillierscoop)


De villiers leg side slash


Matthew Hayden Step Six"
88c587f7,What Chinese character has most strokes?,"Probably this word:
It contains 56 strokes, and was pronounced ""Biang1"". It's a name for a special noodle in Shaanxi province, called Biang Biang noodle.
However, this word was not recorded in Kangxi dictionary or Xinhua dictionary, indicating this word (although famous now) might be a local dialect word, not ""official Chinese"".
Officially, it would be this word:
It's pronounced ""Da2"", to describe the way dragon flys. the word contains 51 stroke and was recorded in both Kangxi, xinhua, and modern Chinese dictionaries."
38fde42f,Why do railways prefer two-stroke diesel engines in locomotives over 4-stroke engines?,"Despite what everyone has stated the railroads do not prefer the two-stroke diesel it was more a factor of what was supplied by the locomotive manufacturers of which there are two in the US, EMD, and GE. The EMD diesel was always two-stroke but the GE’s were always four-stroke. It was true that the EMD locomotives were more popular historically but that began to change in the early 90’s with many new innovations by the GE dash series locos. At some point (after I retired) EMD actually added a four-stroke engine but I believe they still supply the 710 series two-banger engine which was a good one. The rail service continued to demand more and more H.P. and the manufacturers tried to deliver. This eventually led to a problem with the crankshaft bearings on the EMD 2-strokes 645 engines. This was caused by the welded steel construction (in part) of the frame which was flexing under heavy loads, with the new power rating. This caused even more purchases of the GE’s equipped with the FDL series engines 4-stroke. I personally liked the 2-strokers better because I considered them easier to work on. The EMD’s did not use pushrods but they still needed 2 camshafts with extra gears to drive them so the two engines were not significantly different as far as running gear. By the way, some have confused 2-stroke diesel with small engine operation. Diesels never use crankcase pressure at all in their cycle."
24d11b66,Do you know about stroke?,"It depends on the severity of the stroke. If it’s a massive stroke it will likely kill you, instantly. If it moderate or a TIA, your chances may be 50:50 if you know what your looking for. What follows is a short list of noticeable symptoms to look for if you’re having or just had a stroke.
You suddenly become extremely dizzy, one side of your face droops or sags, one corner of you mouth turns downward, have a sudden weakness in your limbs , trouble standing or walking, difficulty speKing , slurred speech. Numbness in two of you limbs on the same did.
In 2014, I had a TIA sitting at my kitchen table reading the morning paper. Suddenly , in a microsecond, I knew something had just happened but I didn’t know what. The first physical thing I noticed is when I reached for my water bottle, instead of grasping it I didn’t open my tight hand and just knocked it over. For whatever reason I started to do some hand exercises and quickly realized I couldn’t do with my right what my left had did easily. I sat there for a few minutes, still trying to figure out what had just happened. I certainly wasn’t considering a stroke. So I got up from the table, took a shower and drove to the medical school where I worked. Walking to my office I encountered the Dean, and stopped to ask him a question. He suddenly stepped in front of me, looked me square in the eyes and asked “do you feel alright”?. I started to answer that something strange had happened at my home when he interrupted and said matter of factorly, “ I know what happened, you’ve had a stroke, the right side of your mouth is dropping”! In less than 10 minutes they had me in the ER being examined for a stroke. That was later confirmed by my neurologist reading an MRI I had just been given. He told me it was a non-hemorrhagic TIA I suffered in my left brain hemisphere, in an area consistent with the symptoms I had been describing. So like most individuals who suffer a mild stroke, I was aware something had happened but I never considered a stroke."
56085231,Can an MRI show a stroke?,"Absolutely! MRI is an excellent tool for detecting, localizing and stratifying severity of strokes that happen anywhere within an hour of ictus (the moment that the clot occurs and symptoms begin), and any time thereafter. It can identify regions of damaged brain which shrink over time (“encephalomalacia”) that occur with chronic infarcts and are present for the rest of one’s life. Neurologists and other doctors can use this information to better understand the resultant damage from a stroke, neural deficits (e.g., facial droop, difficulty speaking, arm\leg weakness) and possible medical management to decrease risk of future strokes.
Atherosclerosis and arterial plaques are common sources of strokes (little pieces break off the bigger vessels in the neck then flow with the blood ainto the brain, wedge into the smaller downstream arteries supplying the brain and block it from getting oxygenated blood, resulting in tissue ischemia, ie “stroke” or infarct. This mechanism is so common for stroke that most people with strokes will also get some sort of extra imaging with the CT or MRI to look at these vessels. “CTA” (CT Angiogram) or “MRA” (MR Angiogram) are the names of these “addon” exams that can be performed at the same time as the CT or MRI which is looking at the brain tissue itself.
MRI can also identify the presence of blood products in a stroke (e.g., “hemorrhagic stroke”) which can be helpful in intervention of acute strokes - although CT can identify acute hemorrhage just as well or sometimes better than MRI. MRI is better for old or chronic blood products. A smaller portion of strokes with hemorrhage are not due to atherosclerosis but are due to hypertension. These types of strokes occur in characteristic areas of the brain and, when identified, will clue the clinician to get better control of a patient’s blood pressure to prevent similar events in the future.
2 small points getting back to the original question. A TIA (transient ischemic attack) is a condition with symptoms identical to stroke, but resolve within 24 hours. By definition, the MRI (or CT) should not show any brain damage to account for the symptoms (otherwise it is a stroke). This is important because it can be a key intervention point to medical management for prevention of an ACTUAL stroke down the road. For example, a doctor may prescribe anti-platelet drugs like aspirin or plavix to decrease the risk of plaque rupture if present in those neck arteries.
The other point is that contrast (gadolinium) enhanced MRI is not necessary for simply identifying whether or not a stroke has occurred at some point in a patient’s life. Further, contrast is not needed to differentiate an acute from chronic stroke. But there is one situation where contrast may be helpful and that is when trying to figure when a recent stroke might’ve occurred. Without getting into too much detail, a region of brain that looks damaged from a stroke can be identified as “subacute” if it shows gadolinium enhancement on MRI. That means the stroke is neither super recent or super old, but happened somewhere betwee 1 day and 3 weeks ago. The different ages of stroke are generally broken down as follows (although small variances in the timeframe depend on who you ask, and from patient to patient): hyperacute (0-6 hours), acute(6-24 hours), subacute (1 day to 3 weeks), chronic (>3 weeks)."
28a6c3e0,What is a four stroke diesel engine?,"In Four stroke diesel engine, each cycle completed two revolution of crank. Each cycle mean suction, compression, power, exhaust.
Diesel engine is also known as compression ignition engine. Because inside the cylinder (combustion chamber) only air is compressed. So air goes to maximum temperature. Fuel is injected as fine droplets through the fuel injector. From this fuel is ingnited by the air which is in maximum temperature inside the combustion chamber. i cant explain whole thing of diesel engine so,
You can refer this in following links,
Diesel Engine Principle and Working Cycle Explained -
Four-Stroke Cycle Diesel Engine"
9bf17db3,Which types of diesel (2 stroke or 4 stroke) engine is more efficient?,
4717f2c5,What is the critical appeal of The Strokes?,
0d0fe88f,What is the difference between piston of two stroke engine and piston of four stroke engine?,
37bea7fa,What kind of diet should a person go on if they've had a stroke and heart attack? Is a vegan diet necessary for him to prevent another stroke and/or heart attack?,
b550a02c,"How is the following equation possible: 83.25 + 17.75 + 19,220 = 2,021?",
bb34744e,How doesn’t a 6-stroke engine create as much pollutants as a 4-stroke engine creates? Can this engine be fuel-efficient? Can it create more power than a 4-stroke engine?,
89ca75fa,Can a stroke cause a personality change?,
b293e1af,"For the same engine weight and size, which engine is more powerful; a two stroke or four stroke and why?",
b50e6075,How do you explain the working of a four-stroke diesel engine?,
b6f8d285,For what purpose are two stroke cycle engines mainly used?,
1df6c2b1,Why isn't a two-stroke engine efficient even though it uses more power strokes than a four-stroke engine?,"Several reasons, I’d refer you to the earlier answers by Ahmed Samii, Willy Roentgen, and Michael Heaton for the exact reasons for the 2-stroke internal combustion engines being inefficient, but these would have to be considered to remedy many of the problems and allow the 2 cycle ICE to actually be decently efficient.
You need a means of controlling the intake port so it can suck all air in when possible, then close off while the transfer port can be opened after the air gets compressed, you could use a rotary intake valve for doing this.

2. You may consider plating the rotary valve with black diamond ceramic so it’ll be able to last as long as possible.

3. You may also have to consider fuel injection into a small swirling prechamber like they did for them Toyota cars in the 1970’s, possibly air-assisted fuel injection like that company Orbital UAV has worked on and made since its orbital engine concept in the 1970’s didn’t pan out and the company’s people kept improving on that injection system to this day.

4. Timing these parts would have to be considered and be kept up.

5. Using a magneto powered cdi like on the Rotax engines would also be nice and allow minimal maintenance while ensuring a proper spark to ignite the fuel air mixture properly."
1d0ae146,How do I convert a 4-stroke petrol into a 2-stroke engine to run on compressed air?,"I guess you would call an engine run on compressed air a 2-stroke, but I'm not sure its all that meaningfully. I also can't think of a reason to convert a 4-stroke gasoline engine to run on compressed air.
The way you would do it is to change the camshaft sprockets or gears so that they had a one-to-one ratio with the crankshaft and then have a cam ground so that it openes the intake valve at the top of the stroke and the exhaust valve at the bottom. You likely would need to change the intake valve spring to one with a higher rate to compensate for the air pressure that is trying to open the valve. I suspect that you will have to modify the intake manifold to deal with the pressure.
I think a 4-stroke will turn if you were just to apply air pressure to the intake. You likely will have turn anything less than a 4 cylinder over with a starter or crank to get it started as its possible or maybe likely it will be at a position with all the intake valve closed or maybe on open with the piston before TDC."
8223e452,Which needs more lubrication 2 stroke or four stroke engine?,"FOUR STROKE ENGINE
Four-stroke engines are lubricated by oil held in an oil sump. The oil is distributed through the engine by splash lubrication or a pressurized lubrication pump system; these systems may be used alone or together.
Splash lubrication is achieved by partly submerging the crankshaft in the oil sump. The momentum of the rotating crankshaft splashes oil to other engine components such as the cam lobes, wrist pins and cylinder walls.
Pressurized lubrication uses an oil pump to provide a pressurized film of lubricant between moving parts such as the main bearings, rod bearings and cam bearings. It also pumps oil to the engine’s valve guides and rocker arms.
TWO STROKE ENGINE
Two-stroke engines collect some oil beneath the crankshaft; however, two-stroke engines employ a total-loss lubrication system that combines oil and fuel to provide both energy and engine lubrication. The oil and fuel are combined in the cylinder’s intake tract and lubricate critical components such as the crankshaft, connecting rods and cylinder walls.
Oil-injected two-stroke engines inject the oil directly into the engine, where it mixes with the fuel, while premix two-stroke engines require a fuel-oil mixture that is combined before being installed in the fuel tank. In general, two-stroke engines are known to wear more quickly than four-stroke engines because they don’t have a dedicated lubricant source.
I hope u get the answer :)"
5790221d,How do I identify a person suffering from a stroke?,"STROKE: Remember the 1st Three Letters.....
S. T. R.
STROKE IDENTIFICATION:
A neurologist says that if he can get to a stroke victim within 3 hours he can totally reverse the effects of a stroke...totally. He said the trick was getting a stroke recognized, diagnosed, and then getting the patient medically cared for within 3 hours, which is tough.
RECOGNIZING A STROKE
Thank God for the sense to remember the '3' steps, STR. Read and Learn.
Sometimes symptoms of a stroke are difficult to identify. Unfortunately, the lack of awareness spells disaster. The stroke victim may suffer severe brain damage when people nearby fail to recognize the symptoms of a stroke.
Now doctors say a bystander can recognize a stroke by asking three (3) simple questions:
S *Ask the individual to SMILE.
T *Ask the person to TALK and SPEAK A SIMPLE SENTENCE (Coherently)
(i.e. Chicken Soup)
R *Ask him or her to RAISE BOTH ARMS.
If he or she has trouble with ANY ONE of these tasks, call emergency number immediately and describe the symptoms to the dispatcher.
New Sign of a Stroke -------- Stick out Your Tongue!
NOTE: Another 'sign' of a stroke is this: Ask the person to 'stick' out his tongue. If the tongue is
'crooked', if it goes to one side or the other that is also an indication of a stroke."
7bc4b5c1,Why is the stroke length twice that of the crank radius in a piston engine?,"The motion of a non-offset piston connected to a crank through a connecting rod (as would be found in internal combustion engines), can be expressed through several mathematical equations.
First of all we would understand about the crank radius and how it covers the distance of stroke.
Pistons motion animation with same rod length and crank radius values in graph above :

Pistons motion animation with various half strokes.
PositionEdit

Position with respect to crank angle (by rearranging the triangle relation):






VelocityEdit

Velocity with respect to crank angle (take firstderivative, using the chain rule):

AccelerationEdit

Acceleration with respect to crank angle (take second derivative, using the chain rule and thequotient rule):
Because of all these factors stroke length is always twice of crank."
095d05a8,How are guitar chords made (in physics)? Why does stroking five strings make an A chord in terms of frequency?,"From a musical point of view, you make an A major chord with the notes A, C# and E. These are musically significant because C# is approximately the fifth harmonic of A (a 5:1 frequency ratio) shifted down two octaves (a 1:4 ratio), i.e. 5:4. And E is the third harmonic (3:1) shifted down one octave (1:2), i.e., 3:2.
You have a fair bit of flexibility musically to choose exactly which A, which C# and which E, and different ""voicings"" give different effects. You can move any of them up or down an octave (a 2:1 or 1:2 frequency change), and the A doesn't necessarily have to be the lowest note. If the musical context it strong you might be able to leave one out and just imply it. If you want a rich sounding chord you might double one or more of them in different octaves.
Then when you know what you'd like, you need to wrestle with the practicalities of approximating it on the guitar without tying your left hand in knots. You have 6 strings, E, A, D, G, B, E, and each of them has frets placed so as to shorten the strings and raise the pitch in units of musical half steps (a.k.a., semitones), which are twelfths of an octave. Physically that's to say that each higher fret raises the frequency a factor of the twelfth root of 2, 2^(1/12)=1.0594630944. (That's the same interval as between adjacent notes on the piano.) 5/4 is close to four half-steps, or 2^(4/12)=1.25992105. 3/2 is close to seven half-steps or 2^(7/12)=1.498307077. All the musical notes are close enough to some number of half-steps apart. So you have to start with each open note and try to get a finger to a fret that will make it an A, C# or E. If that's not feasible for a particular string given the other choices you've made, then you may have to avoid sounding it."
d5a8b0e2,Why does cracking one's neck increase the risk of stroke?,"This pops up in the news frequently and has been proven false. In all cases, the stroke was in progress prior to the visit to the chiropractor. Multiple studies have been done that were unable to find a link between the two. Researchers from the Departments of Neurosurgery, at Penn State Hershey Medical Center, Loma Linda University Medical Center and The Pennsylvania State University, in conducting a systematic review and meta-analysis of chiropractic neck manipulation and cervical artery dissection, found no convincing evidence to support a causal link. Further, the authors conclude that the unfounded belief in causation may lead to episodes of litigation.156Church et al. (2016) CureusWhedon et al. in a 2015 cohort study published in Spine Journal found that, “among Medicare beneficiaries aged 66 to 99 years with an office visit for a neuro-musculoskeletal problem, risk of injury to the head, neck, or trunk within 7 days was 76 percent lower among subjects with a chiropractic office visit than among those who saw a primary care physician.”157Whedon et al. (2015) Spine JournalIn a separate 2015 cohort study, Whedon et al. found that “among Medicare B beneficiaries aged 66 to 99 years with neck pain, incidence of vertebrobasilar stroke was extremely low. Small differences in risk between patients who saw a chiropractor and those who saw a primary care physician are probably not clinically significant.”158Whedon et al. (2015) Journal of Manipulative andPhysiological TherapeuticsThe results of a case-control study in U.S. commercial and Medicare Advantage patient populations by Kosloff et al. concluded, “We found no significant association between exposure to chiropractic care and the risk of vertebrobasilar artery (VBA) stroke. We conclude that manipulation is an unlikely cause of VBA stroke. The positive association between primary care provider (PCP) visits and VBA stroke is most likely due to patient decisions to seek care for the symptoms (headache and neck pain) of arterial dissection. We further conclude that using chiropractic visits as a measure of exposure to manipulation may result in unreliable estimates of the strength of association with the occurrence of VBA stroke.”159Kosloff et al. (2015) Chiropractic Manual TherapyIn a 2008 population-based, case-control and case-crossover study published in Spine Journal, Cassidy et al. concluded that “Vertebrobasilar Artery (VBA) stroke is a very rare event in the population. The increased risks of VBA artery stroke associated with chiropractic and primary care medical provider visits is likely due to patients with headache and neck pain from vertebrobasilar artery dissection seeking care before their stroke.”The authors found no evidence of excess risk of VBA stroke associated chiropractic care compared to primary care.160Cassidy et al. (2008) Spine JournalJason, I hope this helps to clear up any doubts that you have concerning the safety of chiropractic. With the current events concerning the opioid situation, Harvard and Yale are recommending chiropractic as the first place to go for pain. If the stroke issue had any validity to it, our malpractice insurance rates would be 10x higher. The insurance company actuarial stats don’t lie. Cheers"
8316a4d2,Can teenagers get a stroke?,"There are many causes of stroke in children , teenagers and adolescents… For example a child with congenital heart defect (VSD, TGA etc) is more likely to develop thromboembolism causing stroke… a child having hypercoagulable states like protein C, protein S deficiency has the tendency to get blood clots (thromboembolism) causing stroke… there are many other causes like angiopathy, sickle cell disease, moya moya, infantile hemiplegia etc which may be responsible for stroke.. a child with glomerulonephritis may develop severe hypertension and if not controlled then may cause hemorrhagic stroke… a child with renal artery stenosis may have severe hypertension and stroke… a child with severe dehydration may get venous sinus thrombosis and stroke… There are many causes."
6c91d416,What is a two stroke engine?,"The below information could be found in this link with Images and animations also : How does two
stroke
engine works ?
The 2 stroke engine is a type of Internal combustion engine where one power cycle is completed with two strokes of the piston during only one rotation of crankshaft.
The 2 stroke engine performs all the same steps which are performed by 4 stroke engine i.e intake stroke, compression stroke, power stroke & exhaust stroke; but the 2 stroke engine performs all the 4 process(stroke) in only 2 stroke.
The first commercial two-stroke engine involving in-cylinder compression is attributed to Scottish engineer Dugald Clerk, who patented his design in 1881
Application : Two-stroke engines are generally less expensive to build compared to four-stroke engines, and they are lighter and can produce a higher power-to-weight ratio. For these reasons, two-stroke engines are ideal in applications such as chainsaws, weed trimmers, outboard motors, off-road and motorcycles.Two-stroke engines are also easier to start in cold temperatures, making them ideal for use in snowmobiles
Components of two stroke engine
Main Components of Two stroke engine :
Spark plug : A spark plug delivers electric current to the combustion chamber which ignites fuel.The spark produced is used to burn the fuel in the cylinder.
Piston : Piston is the reciprocating part of the engine. It is used for transferring the energy of the expansion of gases to crankshaft using connecting rods
Connecting rod : It connects the piston and crankshaft. It transfer the power from the piston to the crankshaft.
Crank case : It acts as the base of the engine. It supports the crankshaft and camshaft in suitable bearings and provides the arms for supporting the engine on the frame.
Crank shaft : It is that part of the engine which is used to convert the reciprocating motion of the engine into the rotating motion with the help of a connecting rod.
Inlet port & Exhaust port : The fresh charge enters into the cylinder through inlet port and transfer the burnt gases out of the engine through exhaust port.
Counterweight : Counterweight on crankshaft are used to reduce the vibrations due to imbalances in the rotating assembly
Counterweight are used to prevent bending of crankshaft by offsetting the weights of rod and pistons. For a crankshaft to be balanced, at any point in the assembly’s rotation, the sum of all of the forces are roughly equal to zero. If the crankshaft is not balanced, it will deform especially at pressure points and eventually fail.
In two stroke engines, there is no suction and exhaust strokes. There are only two remaining strokes the compression stroke and power stroke. These are usually called the upward stroke and downward stroke. Also, instead of valves, there are inlet and exhaust ports in two stroke cycle engines.
Working principle of two stroke engine is explained in as shown in diagram below :
1. Upward Stroke
2. Downward Stroke
1. Upward stroke:
During upward stroke, the piston moves from BDC to TDC and compresses the charge (air-fuel mixture) in the combustion chamber of the cylinder.
Because of the upward movement of the piston a partial vacuum is created in the crankcase and this allows the entry of the fresh charge into the crankcase through uncovered inlet port.
The exhaust port and the inlet port remains covered when the piston at the TDC.
The ignition of the fresh charge is takes place by the spark plug.
2. Downward stroke:
As soon as the combustion of the fresh charge takes place, a large amount of the pressure created due to combustion of fuel exerts a very high pressure force on the top of the piston. Due to this high pressure force, the piston moves downward and rotates the crankshaft
During this stroke the inlet port is covered by the piston and the new charge is compressed in the crankcase.
Further downward movement of the piston uncovers first the exhaust port and the transfer port and the exhaust starts through the exhaust port.
As soon as the transfer port opens, the charge through it is forced into the cylinder.
The charge strikes the deflector on the piston crown, rises to the top of the cylinder and pushes out most of the exhaust gases.
The piston is now at BDC position. The cylinder is completely filled with the fresh charge but it is somewhat diluted with the exhaust gases.
Finally the cycle event is then repeated. We get two strokes for the single revolution of the crankshaft."
cf3a9fdd,What is the best swimming stroke/exercise for your core?,
6bf41eae,What happens if we use water instead of diesel and petrol in two stroke and four stroke engines?,
ce163b41,What is the best swimming stroke to build muscle?,
34e96440,What is the best hospital for stroke treatment in India?,
7bff7f38,Why are motor neurons most often affected during a stroke?,
b9aa84d8,Which is the most difficult stroke in swimming?,
58b57424,"Since every downstroke is a power stroke on a 2 stroke engine, then does that mean they are twice as powerful as a 4 stroke and would need half the cylinders to give the same amount of power?",
f6ea4245,Has anyone made a one-stroke engine?,
4f22a885,Does any manufacturer produce 2-stroke bikes currently?,
5501cf02,What kind of oil can I use on a two stroke go-kart engine? Can I use 2 stroke motorcycle engine oil on 2 stroke karting engine?,
f702ba4c,Why is thermal efficiency greater in a 4-stroke compared to a 2-stroke engine?,
ac5648e7,How long does it take for a blood pressure of 140/90 to cause a heart attack or stroke?,
1afb16a5,Why are the piston rings of a 2-stroke engine chamfered but not for a 4-stroke engine?,
95af611c,Why in Chinese is the stroke's order important? Is it a huge mistake to write a stroke by not following any order?,
7af3252c,"What's the better outboard, 2 stroke or 4 stroke gas engine?",
9651e203,What is silent stroke?,
84d6dbb6,Do snakes enjoy being petted/stroked?,
30bd6754,What is the best political master stroke by Modi?,
a74da207,Why can smoking cause a stroke?,
4e3edb95,Are 8 cylinder engines 4-stroke?,
1b671f72,"In a four-stroke cycle, does the minimum temperature inside the engine cylinder occur at the beginning of the suction stroke or the end of the suction stroke?","Because you have your intake cycle immediately after your combustion cycle, the cylinder head (internal) and valves are hotter now than at any other moment after the ignition flash.
The piston has just pushed out the hot exhaust gasses, which although less hot than the initial flaming of the air fuel mix are leaving a lot of their heat in the wall and head of the chamber, your engine is now, at inlet valve opening, sucking in “cold” air fuel mix, which has an immediate cooling effect on both the cylinder head and the cylinder wall, and also the piston head. Luckily it does, other wise your engine would melt.
At the Begining of the suction stroke, everything is hot, the air fuel mix comes in but has a lot of work to do cooling everything down. By the time it has sucked in a whole cylinder of air, the chamber cylinder temperature will be at its lowest point at the bottom of the cycle, the air fuel mix has been progressivly absorbing the heat as it comes in, as it does so, it expands, filling the cylinder more quickly than is desireable and resisting the in coming air fuel mix. So you will find that despite the suction of the piston as it descends, it is not getting a uniform amount of air coming in throughout the cycle.
In a badly set up engine, or one that is suffering from hot cylinders, you might even get the air fuel mixture to auto ignite, causing a “backfire” (more than one reason for backfires)
So, I’m pretty confident that you can take the moment of least temperature in the cylinder as being at bottom dead centre, where the air fuel mix has absorbed all of the heat energy from the cylinder that it can.
This is not a good thing for the efficiency of the engine, but a good thing for its cooling.
Thanks for the asking."
9604b8a8,What is the working principle of a 4-stroke diesel engine?,"Basically, there are two types of diesel engine types - the Four Stroke and Two
Stroke
. The 'Diesel Cycle' uses higher Compression-Ratio
. It was named after German engineer Rudolph Diesel, who invented and developed first Four-Stroke diesel
engine. The four strokes of the diesel cycle are similar to that of a petrol engine
. However, the 'Diesel Cycle' considerably defers by the way the fuel system supplies the diesel the engine and ignites it.
A conventional internal combustion diesel engine works on 'Diesel Cycle'. In the simple diesel engines, an injector
injects diesel into the combustion chamber above the piston directly. The 'Compression-Ignition engine' is also another name for the Diesel engine. This is mainly because it burns the diesel
with hot and compressed air. The temperature of the air inside the combustion chamber rises to above 400°c to 800°c. This, in turn, ignites the diesel
injected into the combustion chamber. Thus, the 'Diesel Cycle' does not use an external mechanism such as a spark-plug to ignite the air-fuel mixture.
The Four-Stroke diesel engine works on the following cycle:
1. Suction Stroke – With pistons moving downwards and the opening of the inlet valve creates the suction of clean air into the cylinders.
Diesel Suction Stroke
2. Compression – With the closing of Inlet valve the area above the piston gets closed. The piston moves up resulting in compression of the air in a confined space under higher compression-ratio
.
Diesel Compression Stroke
Combustion Process - At this stage, the injector
sprays the diesel into the combustion chamber. The rise in temperature of the air caused by its compression; results in instantaneous burning of diesel with an explosion. This causes heat to release which generates expanding forces known as power
.
Diesel Engine Combustion
3. Power Stroke – Furthermore, these forces again push the pistons downwards resulting in their reciprocating motion.
Diesel Power Stroke
4. Exhaust Stroke – On their way up, the pistons push the exhaust gases above them thru’ the exhaust valve which opens during the exhaust stroke.
Diesel Exhaust Stroke
This cycle repeats itself until the engine turns off, resulting in the continuance of engine’s running.
4 Stroke Diesel Engine Animation
A diesel engine is mainly classified into two types - Indirect-Injection
(IDI) & Direct-injection
(DI). The Direct-Injection
diesel
cycle was an earlier generation technology. It later evolved into its successor & more advanced CRDi
. Earlier generation utility vehicles, trucks, buses & generators still widely use the simple DI
engines. Furthermore, sophisticated & refined CRDi
engines became very popular in the Sedans, MPVs, SUV
s and Luxury cars in the recent past."
2b4e28af,"Many doctors urge you to take your blood pressure medications to prevent a stroke, but new studies seem to indicate that blood pressure pharmaceuticals cannot prevent a stroke but can even induce strokes. What are we to believe?","Excellent question!
Okay, lets unpack this a bit because your conclusion is based on a very common mistake laypersons make when interpreting scientific data.
You didn’t provide a link to your source info. But, the data I believe you’re referring to comes from the Reasons for Geographic and Racial Differences in Stroke (REGARDS) study from 2015 that came out of the University of Alabama at Birmingham (UAB).
The study included a cohort of 26,785 black and white patients with hypertension, aged at least 45 years old, who were followed over a period of 6.3 years. At the start of the study, 12,327 participants had blood pressure successfully treated by anti-hypertensives (SBP < 140 mmHg) and 4,090 participants unsuccessfully treated with anti-hypertensives (SBP > 140 mmHg). At the end of the follow-up period, over 820 participants experienced a stroke.
Here’s where you’re getting confused…
According to the data, the risk of stroke went up by 33% with each blood pressure medication required to treat blood pressure to goal.
After reading this sentence, it might be natural to think:
People who took more medicine had more strokes. So, the additional blood pressure medications caused the stroke!?
If you thought that, you’d be wrong.
The medicines didn’t cause the stroke.
The severity of hypertensive disease is what contributed to increased stroke risk.
And because more severe hypertension is associated with more medicines required to treat the disease, we see that people taking more medicines had more strokes.
We know this because, if those patients had not received those medicines for hypertension, their risk of stroke would have gone up astronomically. This indicates that the degree of good hypertension control is what mediates stroke risk, not the medicine itself.
We could also show this by giving these anti-hypertensive medicines to people without severe hypertension and observing that stroke risk does not increase in the absence of severe hypertension. However, this would be unethical as giving anti-hypertensives to people with normal blood pressure would result in an unsafe drop in blood pressure.
Ultimately, your best protection against a stroke is to keep from having high blood pressure in the first place. And, if you do develop high blood pressure, you can reduce your stroke risk with a combination of medicine and lifestyle changes to make sure your hypertension doesn’t become more severe.
TL;DR
The REGARDS study out of University of Alabama showed that the more medicines you need to control your blood pressure, the higher your risk of stroke.
From this data, it is easy to mistakenly conclude that the medicines caused the stroke. This is incorrect.
Strokes are caused by high blood pressure, not by the medicines that treat high blood pressure.
We know this because patients who do not receive anti-hypertensive medicines to control their high blood pressure have astronomical stroke risk. Why? Because they would have crazy high blood pressure.
Therefore, it only appears that hypertensive medicines increase stroke risk because people with more severe hypertension take more of these meds. In reality, the mediating factor is hypertension severity.
If you want to prevent stroke, you need to prevent high blood pressure."
